Date,Currency,Exchange
2022-01-01,USD,1.0
2022-01-01,CAD,1.1583
2022-01-01,AUD,1.2214
2022-01-01,EUR,0.8237
2022-01-01,GBP,0.6415
2022-01-02,USD,1.0
2022-01-02,CAD,1.1682
2022-01-02,AUD,1.2323
2022-01-02,EUR,0.8304
2022-01-02,GBP,0.6477
2022-01-03,USD,1.0
2022-01-03,CAD,1.1682
2022-01-03,AUD,1.2323
2022-01-03,EUR,0.8304
2022-01-03,GBP,0.6477
2022-01-04,USD,1.0
2022-01-04,CAD,1.1682
2022-01-04,AUD,1.2323
2022-01-04,EUR,0.8304
2022-01-04,GBP,0.6477
2022-01-05,USD,1.0
2022-01-05,CAD,1.1784
2022-01-05,AUD,1.2384
2022-01-05,EUR,0.8393
2022-01-05,GBP,0.6569
2022-01-06,USD,1.0
2022-01-06,CAD,1.1763
2022-01-06,AUD,1.2288
2022-01-06,EUR,0.8393
2022-01-06,GBP,0.6582
2022-01-07,USD,1.0
2022-01-07,CAD,1.183
2022-01-07,AUD,1.2391
2022-01-07,EUR,0.8452
2022-01-07,GBP,0.6612
2022-01-08,USD,1.0
2022-01-08,CAD,1.1816
2022-01-08,AUD,1.2337
2022-01-08,EUR,0.8498
2022-01-08,GBP,0.6637
2022-01-09,USD,1.0
2022-01-09,CAD,1.182
2022-01-09,AUD,1.228
2022-01-09,EUR,0.8465
2022-01-09,GBP,0.6602
2022-01-10,USD,1.0
2022-01-10,CAD,1.182
2022-01-10,AUD,1.228
2022-01-10,EUR,0.8465
2022-01-10,GBP,0.6602
2022-01-11,USD,1.0
2022-01-11,CAD,1.182
2022-01-11,AUD,1.228
2022-01-11,EUR,0.8465
2022-01-11,GBP,0.6602
2022-01-12,USD,1.0
2022-01-12,CAD,1.1897
2022-01-12,AUD,1.2282
2022-01-12,EUR,0.8472
2022-01-12,GBP,0.66
2022-01-13,USD,1.0
2022-01-13,CAD,1.1966
2022-01-13,AUD,1.2257
2022-01-13,EUR,0.8488
2022-01-13,GBP,0.6592
2022-01-14,USD,1.0
2022-01-14,CAD,1.1965
2022-01-14,AUD,1.2291
2022-01-14,EUR,0.8493
2022-01-14,GBP,0.6584
2022-01-15,USD,1.0
2022-01-15,CAD,1.1834
2022-01-15,AUD,1.208
2022-01-15,EUR,0.8541
2022-01-15,GBP,0.6553
2022-01-16,USD,1.0
2022-01-16,CAD,1.2035
2022-01-16,AUD,1.2179
2022-01-16,EUR,0.863
2022-01-16,GBP,0.659
2022-01-17,USD,1.0
2022-01-17,CAD,1.2035
2022-01-17,AUD,1.2179
2022-01-17,EUR,0.863
2022-01-17,GBP,0.659
2022-01-18,USD,1.0
2022-01-18,CAD,1.2035
2022-01-18,AUD,1.2179
2022-01-18,EUR,0.863
2022-01-18,GBP,0.659
2022-01-19,USD,1.0
2022-01-19,CAD,1.1983
2022-01-19,AUD,1.2179
2022-01-19,EUR,0.8617
2022-01-19,GBP,0.6604
2022-01-20,USD,1.0
2022-01-20,CAD,1.2013
2022-01-20,AUD,1.2197
2022-01-20,EUR,0.8636
2022-01-20,GBP,0.6596
2022-01-21,USD,1.0
2022-01-21,CAD,1.2075
2022-01-21,AUD,1.2174
2022-01-21,EUR,0.8626
2022-01-21,GBP,0.6617
2022-01-22,USD,1.0
2022-01-22,CAD,1.2354
2022-01-22,AUD,1.2308
2022-01-22,EUR,0.8607
2022-01-22,GBP,0.6579
2022-01-23,USD,1.0
2022-01-23,CAD,1.2446
2022-01-23,AUD,1.2653
2022-01-23,EUR,0.893
2022-01-23,GBP,0.6674
2022-01-24,USD,1.0
2022-01-24,CAD,1.2446
2022-01-24,AUD,1.2653
2022-01-24,EUR,0.893
2022-01-24,GBP,0.6674
2022-01-25,USD,1.0
2022-01-25,CAD,1.2446
2022-01-25,AUD,1.2653
2022-01-25,EUR,0.893
2022-01-25,GBP,0.6674
2022-01-26,USD,1.0
2022-01-26,CAD,1.2459
2022-01-26,AUD,1.2653
2022-01-26,EUR,0.8894
2022-01-26,GBP,0.6661
2022-01-27,USD,1.0
2022-01-27,CAD,1.2458
2022-01-27,AUD,1.2589
2022-01-27,EUR,0.8845
2022-01-27,GBP,0.6609
2022-01-28,USD,1.0
2022-01-28,CAD,1.2421
2022-01-28,AUD,1.2548
2022-01-28,EUR,0.8815
2022-01-28,GBP,0.6581
2022-01-29,USD,1.0
2022-01-29,CAD,1.2531
2022-01-29,AUD,1.2846
2022-01-29,EUR,0.8838
2022-01-29,GBP,0.6608
2022-01-30,USD,1.0
2022-01-30,CAD,1.267
2022-01-30,AUD,1.2857
2022-01-30,EUR,0.8846
2022-01-30,GBP,0.6644
2022-01-31,USD,1.0
2022-01-31,CAD,1.267
2022-01-31,AUD,1.2857
2022-01-31,EUR,0.8846
2022-01-31,GBP,0.6644
2022-02-01,USD,1.0
2022-02-01,CAD,1.267
2022-02-01,AUD,1.2857
2022-02-01,EUR,0.8846
2022-02-01,GBP,0.6644
2022-02-02,USD,1.0
2022-02-02,CAD,1.2672
2022-02-02,AUD,1.2841
2022-02-02,EUR,0.8842
2022-02-02,GBP,0.6654
2022-02-03,USD,1.0
2022-02-03,CAD,1.2584
2022-02-03,AUD,1.3009
2022-02-03,EUR,0.879
2022-02-03,GBP,0.6628
2022-02-04,USD,1.0
2022-02-04,CAD,1.2452
2022-02-04,AUD,1.2862
2022-02-04,EUR,0.8737
2022-02-04,GBP,0.6566
2022-02-05,USD,1.0
