Order Number,Line Item,Order Date,Delivery Date,CustomerKey,StoreKey,ProductKey,Quantity,Currency Code,Payment Method
366000,1,2023-01-01,2023-01-08,265598,10,1304,1,CAD,Cash
366001,1,2023-01-01,2023-01-05,1269051,0,1048,2,USD,Credit Card
366001,2,2023-01-01,2023-01-06,1269051,0,2007,1,USD,Credit Card
366002,1,2023-01-01,2023-01-08,266019,0,1106,7,CAD,Credit Card
366002,2,2023-01-01,2023-01-04,266019,0,373,1,CAD,Credit Card
366002,3,2023-01-01,2023-01-09,266019,0,1080,4,CAD,Digital Wallet
366004,1,2023-01-01,2023-01-06,1107461,38,163,6,GBP,Credit Card
366004,2,2023-01-01,2023-01-06,1107461,38,1529,2,GBP,Credit Card
366005,1,2023-01-01,2023-01-08,844003,33,421,4,EUR,Credit Card
366007,1,2023-01-01,2023-01-03,2035771,43,1617,1,USD,Digital Wallet
366007,2,2023-01-01,2023-01-04,2035771,43,666,5,USD,Cash
366008,1,2023-01-01,2023-01-08,759705,29,1154,9,EUR,Credit Card
366008,2,2023-01-01,2023-01-04,759705,29,2510,1,EUR,Credit Card
366008,3,2023-01-01,2023-01-04,759705,29,1060,5,EUR,Digital Wallet
366009,1,2023-01-01,2023-01-09,254540,9,1648,1,CAD,Credit Card
366010,1,2023-01-01,2023-01-06,370077,0,618,5,CAD,Credit Card
366011,1,2023-01-01,2023-01-05,1984985,66,128,7,USD,Cash
366011,2,2023-01-01,2023-01-09,1984985,66,1638,1,USD,Credit Card
366011,3,2023-01-01,2023-01-09,1984985,66,1634,1,USD,Credit Card
366011,4,2023-01-01,2023-01-04,1984985,66,2392,3,USD,Credit Card
366012,1,2023-01-01,2023-01-07,1977527,65,1807,1,USD,Digital Wallet
366012,2,2023-01-01,2023-01-06,1977527,65,1594,4,USD,Credit Card
366012,3,2023-01-01,2023-01-03,1977527,65,1297,1,USD,Cash
366013,1,2023-01-01,2023-01-09,1187306,41,1654,5,GBP,Credit Card
366014,1,2023-01-01,2023-01-05,738549,0,123,1,EUR,Digital Wallet
366014,2,2023-01-01,2023-01-07,738549,0,1700,2,EUR,Digital Wallet
366016,1,2023-01-01,2023-01-07,1982762,63,1253,7,USD,Credit Card
367000,1,2023-01-02,2023-01-04,1438050,56,1176,1,USD,Credit Card
367003,1,2023-01-02,2023-01-10,980164,40,153,2,GBP,Credit Card
367004,1,2023-01-02,2023-01-06,1853699,56,136,1,USD,Credit Card
367004,2,2023-01-02,2023-01-07,1853699,56,1637,4,USD,Credit Card
367005,1,2023-01-02,2023-01-03,758280,0,1691,1,EUR,Cash
367005,2,2023-01-02,2023-01-06,758280,0,319,2,EUR,Credit Card
367005,3,2023-01-02,2023-01-04,758280,0,1674,8,EUR,Credit Card
367005,4,2023-01-02,2023-01-08,758280,0,2511,9,EUR,Credit Card
367005,5,2023-01-02,2023-01-07,758280,0,1720,2,EUR,Credit Card
367005,6,2023-01-02,2023-01-06,758280,0,1597,7,EUR,Credit Card
367005,7,2023-01-02,2023-01-03,758280,0,784,1,EUR,Digital Wallet
367006,1,2023-01-02,2023-01-03,693285,18,2445,3,EUR,Credit Card
367007,1,2023-01-02,2023-01-05,1730985,57,65,7,USD,Digital Wallet
367007,2,2023-01-02,2023-01-05,1730985,57,1432,9,USD,Cash
