Metric,Year,Month,TargetValue
Sales,2022,1,4065425.5856338805
Profit,2022,1,2337215.64457566
Margin,2022,1,0.5857477901892493
Sales,2022,2,4475437.70919804
Profit,2022,2,2583187.0427375804
Margin,2022,2,0.588082460737468
Sales,2022,3,1811480.7619245602
Profit,2022,3,1043932.3880989001
Margin,2022,3,0.5871601001603656
Sales,2022,4,326431.48481964006
Profit,2022,4,188975.0139106
Margin,2022,4,0.5898345875465492
Sales,2022,5,3340418.0619988805
Profit,2022,5,1919440.33423794
Margin,2022,5,0.5854525251940084
Sales,2022,6,2982349.9164142804
Profit,2022,6,1734508.8590984202
Margin,2022,6,0.5925647529215256
Sales,2022,7,3069472.7146849204
Profit,2022,7,1758098.71854758
Margin,2022,7,0.5835759294789213
Sales,2022,8,3259237.5705618
Profit,2022,8,1868673.51347908
Margin,2022,8,0.5841646897716806
Sales,2022,9,3365393.0781654
Profit,2022,9,1934272.4639531202
Margin,2022,9,0.5855982124663127
Sales,2022,10,3339730.8433152
Profit,2022,10,1905797.4568354
Margin,2022,10,0.5814108952234326
Sales,2022,11,3721248.8126060404
Profit,2022,11,2157595.06524716
Margin,2022,11,0.5907437306137501
Sales,2022,12,5361836.281326001
Profit,2022,12,3051002.3586087003
Margin,2022,12,0.5797581794268886
Sales,2023,1,5791813.03957788
Profit,2023,1,3339607.99876546
Margin,2023,1,0.5874877947870137
Sales,2023,2,7182504.002864521
Profit,2023,2,4172741.14662392
Margin,2023,2,0.5919206045633935
Sales,2023,3,2197916.10521748
Profit,2023,3,1275187.71584388
Margin,2023,3,0.5911271400858503
Sales,2023,4,738475.45019352
Profit,2023,4,428396.98334258
Margin,2023,4,0.5910554578057523
Sales,2023,5,3166141.7265429604
Profit,2023,5,1833420.2442441802
Margin,2023,5,0.5899966711474038
Sales,2023,6,2753165.5120292404
Profit,2023,6,1557182.50830338
Margin,2023,6,0.5762687725873235
Sales,2023,7,2046913.1732581202
Profit,2023,7,1187303.1572114401
Margin,2023,7,0.5909899449464209
Sales,2023,8,2043825.73988364
Profit,2023,8,1186025.00728542
Margin,2023,8,0.5912455323516757
Sales,2023,9,2080292.93946792
Profit,2023,9,1194462.5587013802
Margin,2023,9,0.5850135646867668
Sales,2023,10,1837239.0634648802
Profit,2023,10,1049046.34156078
Margin,2023,10,0.581764066535956
Sales,2023,11,1946368.3342874402
Profit,2023,11,1135808.07448082
Margin,2023,11,0.5945629072990554
Sales,2023,12,3494665.2893212806
Profit,2023,12,2014851.01845494
Margin,2023,12,0.5874288109021221
Sales,2024,1,2509572.60419004
Profit,2024,1,1440583.5764399401
Margin,2024,1,0.5848662820857652
Sales,2024,2,2429155.2103120806
Profit,2024,2,1386339.9491705599
Margin,2024,2,0.5814767622529202
Sales,2024,3,366285.25915811997
Profit,2024,3,210952.55509474
Margin,2024,3,0.5867907228298714
Sales,2024,4,63890.83817352
Profit,2024,4,37491.16504356
Margin,2024,4,0.5978720362430877
Sales,2024,5,671338.86069816
Profit,2024,5,391511.81210204
Margin,2024,5,0.5941840265434425
Sales,2024,6,666803.4387757201
Profit,2024,6,379503.90338054
Margin,2024,6,0.5798775649652504
Sales,2024,7,543107.0784924
Profit,2024,7,312481.31631521997
Margin,2024,7,0.5862144000990317
Sales,2024,8,624888.85050324
Profit,2024,8,361178.33030008007
Margin,2024,8,0.5888935535993085
Sales,2024,9,714504.9305433601
Profit,2024,9,409108.29657822
Margin,2024,9,0.5833792087690354
Sales,2024,10,667528.3703736
Profit,2024,10,379211.503219
Margin,2024,10,0.578801522736419
Sales,2024,11,691848.68046264
Profit,2024,11,392675.20536488
Margin,2024,11,0.5782827702096697
Sales,2024,12,1355884.3453374002
Profit,2024,12,783878.3733565799
Margin,2024,12,0.5890388321768685
Sales,2025,1,960654.0093890401
Profit,2025,1,546212.92699264
Margin,2025,1,0.5793124536371391
Sales,2025,2,1369084.96343844
Profit,2025,2,789746.92860196
Margin,2025,2,0.5877267193311486
Sales,2025,3,454631.24609244004
Profit,2025,3,264795.1956881
Margin,2025,3,0.5934289245947328
Sales,2025,4,71412.32187432001
Profit,2025,4,40409.68805956
Margin,2025,4,0.5765410495479992
Sales,2025,5,1149419.63787732
Profit,2025,5,659555.74298982
Margin,2025,5,0.5846430396924226
Sales,2025,6,1008768.6243432001
Profit,2025,6,576676.94403796
Margin,2025,6,0.5824503527534209
Sales,2025,7,1031056.4032066801
Profit,2025,7,589156.9351915601
Margin,2025,7,0.582192304817831
Sales,2025,8,1098910.8473742001
Profit,2025,8,628609.54741732
Margin,2025,8,0.5828226251894189
Sales,2025,9,1263125.4356016
Profit,2025,9,719273.17673034
Margin,2025,9,0.5801833674539866
Sales,2025,10,1302959.9631834002
Profit,2025,10,748785.6099714601
Margin,2025,10,0.5855234711006196
Sales,2025,11,1584035.32523652
Profit,2025,11,920731.15961332
Margin,2025,11,0.5922238164124826
Sales,2025,12,2252492.6561175603
Profit,2025,12,1277718.1345589
Margin,2025,12,0.5779490647192841
